50 ,  397
163 ,  448
181 ,  138
278 ,  547
421 ,  1327
440 ,  1316
668 ,  1477
687 ,  189
746 ,  320
1148 ,  994
1359 ,  675
1395 ,  1010
1622 ,  9
1805 ,  393
1862 ,  1421
1941 ,  623
3060 ,  1131
3153 ,  1443
4010 ,  1168
4381 ,  275
4382 ,  990
4696 ,  1107
4820 ,  1168
4871 ,  99
5075 ,  423
5093 ,  1308
5159 ,  1070
5270 ,  970
5304 ,  91
5503 ,  1004
5563 ,  523
5590 ,  864
5779 ,  249
5789 ,  971
6067 ,  954
6270 ,  270
6285 ,  923
6304 ,  1131
6379 ,  623
6703 ,  925
6941 ,  949
7444 ,  904
7674 ,  857
7689 ,  623
8009 ,  1403
8104 ,  510
8381 ,  741
8451 ,  590
8624 ,  365
8766 ,  519
8867 ,  214
8984 ,  1137
9043 ,  588
9254 ,  1264
9655 ,  359
26 ,  801
104 ,  768
249 ,  1
251 ,  453
268 ,  1141
289 ,  1205
293 ,  1283
354 ,  278
410 ,  848
522 ,  270
556 ,  297
583 ,  207
685 ,  1047
707 ,  1149
900 ,  615
1081 ,  691
1451 ,  200
1654 ,  1481
1807 ,  1422
1808 ,  1374
1890 ,  801
1926 ,  814
2038 ,  890
2077 ,  372
2127 ,  798
2190 ,  348
2203 ,  1210
2206 ,  1307
2250 ,  300
2315 ,  1
2328 ,  1424
2365 ,  601
2373 ,  675
2568 ,  1266
2879 ,  35
3051 ,  768
3096 ,  485
3180 ,  1239
3258 ,  288
3282 ,  173
3289 ,  260
3348 ,  1394
3352 ,  1469
3395 ,  1191
3413 ,  154
3560 ,  1358
3613 ,  1120
3789 ,  311
3805 ,  913
3822 ,  1197
3900 ,  1445
3984 ,  365
4004 ,  1189
4016 ,  271
4022 ,  736
4247 ,  1104
4441 ,  627
4494 ,  692
4533 ,  13
4577 ,  224
4599 ,  732
4630 ,  1057
4736 ,  562
4794 ,  1174
4940 ,  1087
4959 ,  1065
4987 ,  56
5027 ,  1027
5078 ,  241
5217 ,  969
5239 ,  450
5347 ,  1398
5358 ,  95
5403 ,  377
5602 ,  885
5617 ,  924
5758 ,  388
5828 ,  1180
5873 ,  1505
5963 ,  1110
6005 ,  139
6007 ,  716
6024 ,  640
6156 ,  1132
6166 ,  976
6179 ,  1495
6195 ,  1322
6327 ,  440
6334 ,  609
6368 ,  281
6375 ,  171
6383 ,  1211
6464 ,  70
6505 ,  703
6522 ,  1267
6537 ,  184
6698 ,  282
6760 ,  481
6872 ,  1391
6889 ,  442
6929 ,  233
6947 ,  1494
7000 ,  904
7003 ,  327
7225 ,  1363
7276 ,  715
7372 ,  38
7382 ,  564
7625 ,  161
7679 ,  104
7693 ,  458
7785 ,  1171
7805 ,  1159
7833 ,  456
8146 ,  367
8161 ,  702
8168 ,  486
8188 ,  785
8363 ,  509
8370 ,  1406
8418 ,  1106
8659 ,  1146
8808 ,  1088
8970 ,  647
9138 ,  1345
9156 ,  1455
9176 ,  186
9192 ,  934
9242 ,  372
9362 ,  736
9421 ,  739
9729 ,  562
9811 ,  693
9828 ,  1278
9877 ,  1150
649 ,  1368
811 ,  1272
1318 ,  1272
1769 ,  1272
4138 ,  1272
4200 ,  1272
5142 ,  1272
5414 ,  1272
7142 ,  1418
9572 ,  1176

